Key,en,sv,reviewed
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Slutanvändarlicensavtal (EULA),False
MainMenu.Info.Documentation,Documentation,Dokumentation,False
MainMenu.Info.Discord,Join Our Discord,Gå med i vår discord,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Denna förinställning ställer in rätt format och mått. Mycket långa animationer kan överskrida gränserna för plattformens filstorlek, och vissa plattformar begränsar visst innehåll.",False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Öppna lokal modellmapp,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Öppna teckenmappen,False
MainMenu.Info.Log,Open Log Folder,Öppna Loggmapp,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Använder Global Color Table,False
MainMenu.Editor.ExportStatic,Export Static Image,Exportera statisk bild,False
MainMenu.Editor.Player.Speed,Speed,Hastighet,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Statiska bildinställningar,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Återställ inställningar för statisk bild,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Samplingsfrekvens,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Denna växling låter dig växla mellan den interna och den anpassade texturen,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Redigera PNG:erna i mappen Custom Texture. Spara med genomskinlighet och ändra inte bildstorleken,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",När du har sparat dina ändringar klickar du på den här knappen för att tillämpa ändringarna på din modell.,False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Rädda din karaktär. Spara-knappen finns under teckenlistan på vänster sida av gränssnittet.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Läs manualen Använda anpassade texturer innan du använder den här funktionen.,False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Anpassad textur,False
MainMenu.Editor.Texture.Step1,Step 1,Steg 1,False
MainMenu.Editor.Texture.Step2,Step 2,Steg 2,False
MainMenu.Editor.Texture.Step3,Step 3,Steg 3,False
MainMenu.Editor.Texture.Step4,Step 4,Steg 4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Fixa vald kontur,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Återställ vald atlas,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Texture Utility,False
MainMenu.Editor.Texture.SelectAll,Select All,Välj Alla,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Växla val,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlas lista,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Detta kommer att återställa de valda atlassidorna till de inbyggda versionerna. Alla osparade redigeringar går förlorade och kan inte återställas. Fortsätta?,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palettalgoritm,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Detta kommer att skriva över de valda texturfilerna och kan inte ångras. Fortsätta?,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Vissa språk översätts av vår community eller assisteras av maskinöversättning, så kvaliteten kan variera.

Du kan ändra språket i Inställningar.

Se våra {0}.

Vill du bidra? Gå med oss ​​på {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,community-bidragsgivare på GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Visa inte detta igen,False
MainMenu.Editor.AssetTypeWS,Workshop,Verkstad,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Publicera Model to Workshop,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Publicera karaktär till verkstad,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Uppladdningsläge,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Skapa nytt objekt,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Uppdatera befintligt objekt,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Objekt att uppdatera,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Titel,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Beskrivning,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Synlighet,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Offentlig,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Endast vänner,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privat,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Onoterat,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Ändra anteckning,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Obligatoriska objekt (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Förhandsgranska bild (PNG/JPG sökväg),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Publicera,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Avboka,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(belastning...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(inga publicerade föremål),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Steam inte redo),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Väntar på Steam-metadata...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Välj ett publicerat verkstadsobjekt att uppdatera.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Titel krävs.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Fixa förhandsgranskningsbilden innan publicering.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Skapar verkstadsobjekt...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Laddar upp verkstadsobjekt...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Förhandsgranskningsbildfilen hittades inte.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","Förhandsgranskningsbilden måste vara en PNG, JPG eller GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,Förhandsgranskningsbilden måste vara 1 MB eller mindre (för närvarande {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Det gick inte att läsa förhandsgranskningsbilden: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Förhandsgranskningsbilden kunde inte avkodas.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Obligatoriskt PublishedFileId är ogiltigt: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam initieras inte.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Verkstadsobjekt laddat upp: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Publicera mellanlagringsfiler har ändrats. Stäng den här dialogrutan och publicera igen.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Verifierar obligatoriska verkstadsobjekt...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Det gick inte att verifiera obligatoriska verkstadsartiklar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,Verkstadsobjektet {0} hittades inte eller är inte tillgängligt.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,Verkstadsobjektet {0} tillhör inte den här appen.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Viewport-fångst misslyckades: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Förhandsvisning fångad från viewport.,False
