Key,en,zh-Hant,reviewed
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,取樣頻率,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,這個選項允許您在內建貼圖和自訂貼圖間切換。,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,編輯自訂貼圖資料夾中的PNG影像，保留透明度儲存且不要改變尺寸。,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",編輯完成後，點選此按鈕應用修改。,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,儲存您的角色。儲存按鈕在左側角色列表下方。,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,請在使用前完整閱讀手冊使用自訂貼圖章節。,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,自訂貼圖,True
MainMenu.Editor.Texture.Step1,Step 1,第一步,True
MainMenu.Editor.Texture.Step2,Step 2,第二步,True
MainMenu.Editor.Texture.Step3,Step 3,第三步,True
MainMenu.Editor.Texture.Step4,Step 4,第四步,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,修復選中圖集部件邊緣,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,重置選中圖集,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,貼圖工具,True
MainMenu.Editor.Texture.SelectAll,Select All,全選,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,反選,True
MainMenu.Editor.Texture.AtlasList,Atlas List,圖集列表,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,此操作將把所選圖集頁面重置為內建版本。未儲存的修改將會遺失且無法恢復。是否繼續？,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,調色盤演算法,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,操作會修改並覆蓋選中的 PNG 圖集檔案以修復白邊。此操作無法撤銷，是否繼續？,True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our <link=""https://github.com/GlycoProduction/EmoteLab-localization/graphs/contributors"">community contributors on GitHub</link>.

Want to contribute? Join us on <link=""https://discord.gg/Xt8dAV8YF7"">Discord</link>.","部分語言由社群翻譯或由機器翻譯協助完成，因此品質可能有所不同。

您可在設定中變更語言。

請在<link=""https://github.com/GlycoProduction/EmoteLab-localization/graphs/contributors"">GitHub</link>上查看我們的社群貢獻者。

想要參與？歡迎透過<link=""https://discord.gg/Xt8dAV8YF7"">Discord</link>加入我們。",False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,不再顯示,False
MainMenu.Editor.AssetTypeWS,Workshop,工作坊,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,將模型發佈到Workshop,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,將角色發佈到創意工坊,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,上傳方式,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,建立新專案,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,更新現有項目,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,要更新的項目,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,標題,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,描述,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,能見度,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,民眾,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,僅限朋友,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,私人的,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,未上市,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,更改備註,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),必需項目（PublishedFileIds）,False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),預覽影像（PNG/JPG 路徑）,False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,發布,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,取消,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(載入中...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),（沒有發表過的文章）,False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),（蒸氣未準備好）,False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,正在等待 Steam 元數據...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,選擇要更新的已發布創意工坊專案。,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,標題為必填項。,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,發布前修復預覽影像。,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,正在創建創意工坊專案...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,正在上傳創意工坊專案...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,未找到預覽圖像檔案。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.",預覽影像必須是 PNG、JPG 或 GIF。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,預覽影像必須為 1 MB 或更小（目前為 {0} KB）。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},無法讀取預覽影像：{0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,無法解碼預覽影像。,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},所需的 PublishedFileId 無效：{0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam 未初始化。,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},上傳的創意工坊專案：{0},False
