GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
AntennaLeft,Antenna >>,Antenna >>,触角 >>,觸角 >>,Antenne >>,Antena >>,Antenne >>,Antenna >>,アンテナ >>,안테나 >>,Антенна >>,Antena >>,Антена >>,Antenna >>,หนวดแมลง >>,Anten >>,Antenn >>
AntennaLeftOutline,Antenna >> Outline,Antenna >> Outline,触角 >> 轮廓,觸角 >> 輪廓,Antenne >> Umriss,Antena >> Contorno,Contour Antenne >>,Antenna >> Vázlat,アンテナ 輪郭 >>,안테나 >> 외곽선,Антенна >> Контур,Antena >> Contorno,Антена >> Схема,Antenna >> Contorno,เส้นร่างหนวดแมลง >>,Anten >> Anahat,Antenn >> Kontur
AntennaRight,Antenna <<,Antenna <<,触角 <<,觸角 <<,Antenne <<,Antena <<,Antenne <<,Antenna <<,アンテナ <<,안테나 <<,Антенна <<,Antena <<,Антена <<,Antenna <<,หนวดแมลง <<,Anten <<,Antenn <<
AntennaRightOutline,Antenna << Outline,Antenna << Outline,触角 << 轮廓,觸角 << 輪廓,Antenne << Umriss,Antena << Contorno,Contour Antenne <<,Antenna << Vázlat,アンテナ 輪郭 <<,안테나 << 외곽선,Антенна << Контур,Antena << Contorno,Антена << Схема,Antenna << Schema,เส้นร่างหนวดแมลง <<,Anten << Anahat,Antenn << Kontur
BackHair,Hair Rear,Hair Rear,头发 后侧,頭髮 後側,Haare hinten,Pelo trasero,Cheveux Arrières,Haj Hátsó,後ろ髪,뒷머리,Задние волосы,Cabelo de Trás,Волосся ззаду,Capelli posteriori,ผมด้านหลัง,Saçın Arkası,Hår bak
BackHairOutline,Hair Rear Outline,Hair Rear Outline,头发 后侧 轮廓,頭髮 後側 輪廓,Haare hinten Umriss,Contorno del pelo trasero,Contour Cheveux Arrières,Haj hátsó körvonala,後ろ髪 輪郭,뒷머리 외곽선,Задние волосы - Контур,Cabelo de Trás Contorno,Контур волосся ззаду,Contorno posteriore dei capelli,เส้นร่างผมด้านหลัง,Saçın Arkası Anahat,Hår bakre kontur
BeverageCup,Beverage Cup,Beverage Cup,饮料杯,飲料杯,Getränkebecher,Vaso de bebida,Tasse,Italpohár,飲み物のカップ,음료 컵,Стаканчик,Copo de Bebida,Чашка для напоїв,Tazza per bevande,ถ้วยเครื่องดื่ม,Bardak,Dryckeskopp
BeverageLiquid,Beverage Liquid,Beverage Liquid,饮料杯 液体,飲料杯 液體,Becherflüssigkeit,Líquido del vaso,Boisson Liquide,Folyékony ital,飲み物,음료수 1,Жидкость в стаканчике,Bebida Liquido,Рідина для напоїв,Bevanda liquida,ของเหลวเครื่องดื่ม 1,Bardaktaki Sıvı,Dryck flytande
BeverageLiquid2,Beverage Liquid 2,Beverage Liquid 2,饮料杯 液体 2,飲料杯 液體 2,Becherflüssigkeit 2,Líquido del vaso 2,Boisson Liquide 2,Folyékony ital 2,飲み物2,음료수 2,Жидкость в стаканчике 2,Bebida Liquido 2,Рідина для напоїв 2,Bevanda liquida 2,ของเหลวเครื่องดื่ม 2,Bardaktaki Sıvı 2,Dryckesvätska 2
Bill,Bill,Bill,钞票,鈔票,Schnabel,Billetes,Facture,Számla,紙幣,지폐,Деньги,Conta,Білл,Conto,แบงก์เงิน,Para,Fakturera
BlanketInner,Blanket Inner,Blanket Inner,被子 里侧,被子 內側,Decke innen,Manta interior,Couverture Interieur,Belső takaró,ブランケット内側,이불 안감,Одеяло ,Cobertor Interior,Ковдра Внутрішня,Coperta interna,ผ้าห่มด้านใน,Battaniye İçi,Filt inre
BlanketOutter,Blanket Outter,Blanket Outter,被子 外侧,被子 外側,Decke außen,Manta exterior,Couverture Exterieur,Külső takaró,ブランケット外側,이불 겉감,Плед поверх одеяла,Cobertor Exterior,Ковдра Outter,Coperta esterna,ผ้าห่มด้านนอก,Battaniye Dışı,Filt Outter
Blush,Face Blush,Face Blush,脸红,臉紅,Gesichtsröte,Rubor,Fard à Joues,Arcpirosító,頬の赤み,볼터치,Румянец,Rosto Corado,Рум'яна для обличчя,Fard per il viso,แก้มแดง,Yüz Kızarklığı,Ansiktsrodnad
BrowLeft,Brow >>,Brow >>,眉毛 >>,眉毛 >>,Augenbraue >>,Ceja >>,Sourcil >>,Szemöldök >>,眉 >>,눈썹 >>,Бровь >>,Sobrancelha >>,Брова >>,Fronte >>,คิ้ว >>,Kaş >>,Bryn >>
BrowRight,Brow <<,Brow <<,眉毛 <<,眉毛 <<,Augenbraue <<,Ceja <<,Sourcil <<,Szemöldök <<,眉 <<,눈썹 <<,Бровь <<,Sobrancelha <<,Брова <<,Sopracciglia <<,คิ้ว <<,Kaş <<,Bryn <<
Chopstick,Chopstick,Chopstick,筷子,筷子,Stäbchen,Palillos,Baguettes,Pálcika,お箸,젓가락,Палочки для еды,Hashi,Паличка для їжі,Bacchette,ตะเกียบ,Chopstick,Matpinne
Crowbar,Crowbar,Crowbar,撬棍,撬棍,Brecheisen,Palanca,Pied de Biche,Emelőrúd,バール,쇠지렛대,Лом,Pé de Cabra,Лом,Piede di porco,ชะแลง,Levye,Kofot
Cup,Cup,Cup,咖啡杯,咖啡杯,Tasse,Taza,Gobelet,Csésze,カップ,컵,Чашка,Copo,Кубок,Tazza,ถ้วยน้ำ,Kupa,Kopp
CupSteam,Cup Steam,Cup Steam,咖啡杯 蒸汽,咖啡杯 蒸汽,Tasse Dampf,Vapor de la taza,Vapeur Tasse,Kupa Steam,湯気,컵 수증기,Пар из чашки,Vapor do Copo,Чашка Steam,Vapore in tazza,ไอน้ำจากถ้วยน้ำ,Kupa Buharı,Cup Steam
Door,Door/Wall,Door/Wall,门/墙,門/牆,Tür/Wand,Puerta/Pared,Porte/Mur,Ajtó/fal,ドア／壁,문/벽,Дверь/Стена,Porta/Parede,Двері/Стіна,Porta/muro,ประตู/ผนัง,Kapı/Duvar,Dörr/Vägg
DumEyePupilLeft,Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,呆眼 瞳孔 >>,呆眼 瞳孔 >>,Auge (Dum) Pupille >>,Pupila (tonta) >>,Oeil (Teuteu) Pupille >>,Szem(Dum) Pupilla >>,ほげ目 瞳 >>,바보 눈동자 >>,Глаз(Глупик) Зрачок >>,Olho(Bobo) Pupila >>,Око (Dum) Зіниця >>,Pupilla dell'occhio (idiota) >>,ตาหน้าโง่ >>,Göz(Enayi) Gözbebeği >>,Eye(Dum) Pupill >>
DumEyePupilRight,Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,呆眼 瞳孔  <<,呆眼 瞳孔  <<,Auge (Dum) Pupille <<,Pupila (tonta) <<,Oeil (Teuteu) Pupille <<,Szem(Dum) Pupilla <<,ほげ目 瞳 <<,바보 눈동자 <<,Глаз (Глупик) Зрачок <<,Olho(Bobo) Pupila <<,Eye(Dum) Pupil <<,Pupilla dell'occhio (idiota) <<,ตาหน้าโง่ <<,Göz(Enayi) Gözbebeği <<,Eye(Dum) Pupill <<
Eyebag,Eyebag,Eyebag,眼袋,眼袋,Tränensack,Ojeras,Cernes,Szemtáska,目のクマ,다크서클,Мешки под глазами,Olheira,Очний мішок,Borsa per gli occhi,ถุงใต้ตา,Göz torbası,Ögonpåse
EyeDarkLeft,Eye Iris Dark >>,Eye Iris Dark >>,眼睛 虹膜深色 >>,眼睛 虹膜深色 >>,Augeniris dunkel >>,Iris Oscuro >>,Œil Foncé >>,Szem Iris Sötét >>,虹彩 濃 >>,눈동자 음영 >>,Глаза Радужка Темная >>,Olho Iris Escura >>,Райдужна оболонка очей темна >>,Occhio Iride scura >>,ตา(สีเข้ม) >>,Göz İris Koyuluğu >>,Eye Iris Dark >>
EyeDarkRight,Eye Iris Dark <<,Eye Iris Dark <<,眼睛 虹膜深色 <<,眼睛 虹膜深色 <<,Augeniris dunkel <<,Iris Oscuro <<,Œil Foncé <<,Szem Iris Sötét <<,虹彩 濃 <<,눈동자 음영 <<,Глаза Радужка Темная <<,Olho Iris Escura <<,Райдужна оболонка очей темна <<,Occhio Iride Oscura <<,ตา(สีเข้ม) <<,Göz İris Koyuluğu <<,Eye Iris Dark <<
EyeDollar,Eye Dollar,Eye Dollar,眼睛 钱,眼睛 錢,Augendollar,Ojos de dinero,Yeux Dollars,Szem dollár,お金の目,달러($) 눈,Глаз Доллар,Olho Dolar,Око Долар,Dollaro degli occhi,ตา(ดอลลาร์),Göz Paracık,Ögondollar
EyeHeart,Eye Heart,Eye Heart,眼睛 爱心,眼睛 愛心,Augenherz,Ojos de corazón,Yeux Coeurs,Szem Szív,ハート目,하트 눈,Глаз Сердце,Olho Coração,Око Серце,Occhio Cuore,ตา(หัวใจ),Göz Kalp,Ögat hjärta
EyeHighlight,Eye Highlight,Eye Highlight,眼睛 高光,眼睛 高光,Augen Highlight,Brillo del ojo,Œil Lumière,Szemkiemelés,目ハイライト,눈 하이라이트,Глаз Блик,Olhos Destaque,Підсвічування очей,Evidenziazione degli occhi,ไฮไลท์ตา,Göz Detayı,Ögonhöjdpunkt
Eyelash,Eyelashes,Eyelashes,眼睛 睫毛,眼睛 睫毛,Wimpern,Pestañas,Cils,Szempilla,まつげ,속눈썹,Ресницы,Cílios,вії,Ciglia,ขนตา,Kirpikler,Ögonfransar
EyeLightLeft,Eye Iris Light >>,Eye Iris Light >>,眼睛 虹膜浅色 >>,眼睛 虹膜淺色 >>,Augeniris hell >>,Brillo del iris >>,Œil Clair >>,Szem írisz fénye >>,虹彩 淡 >>,눈동자 반사광 >>,Глаза Радужка Светлая >>,Olho Iris Clara >>,Світло райдужної оболонки очей >>,Luce dell'iride dell'occhio >>,ตา(สีอ่อน) >>,Göz İris Açıklığı >>,Eye Iris Light >>
EyeLightRight,Eye Iris Light <<,Eye Iris Light <<,眼睛 虹膜浅色 <<,眼睛 虹膜淺色 <<,Augeniris hell <<,Brillo del iris <<,Œil Clair <<,Eye Iris Light <<,虹彩 淡 <<,눈동자 반사광 <<,Глаза Радужка Светлая <<,Olho Iris Clara <<,Райдужна оболонка очей Світла <<,Luce dell'iride dell'occhio <<,ตา(สีอ่อน) <<,Göz İris Açıklığı <<,Eye Iris Light <<
EyeOutline,Eye(Dum) Outline,Eye(Dum) Outline,呆眼 轮廓,呆眼 輪廓,Augen (Dum) Umriss,Contorno de ojo (tonto),Contour de l'Œil (Teuteu),Szem(Dum) körvonal,ほげ目 輪郭,바보 눈동자 외곽선,Контур глаза (Глупик),Olho(Bobo) Contorno,Око (Dum) контур,Contorno dell'occhio (dum).,เส้นร่างตาหน้าโง่,Göz (Enayi) Anahat,Eye(Dum) Outline
EyeSparkling,Eye Sparkling,Eye Sparkling,眼睛 星星,眼睛 星星,Augenfunkeln,Ojos chispeantes,Yeux en Étoiles,Szem csillogó,キラキラ目,눈 반짝임,Сверкающие глаза,Olhos Brilho,Блискучі очі,Occhio scintillante,ตา(ประกาย),Göz Parıltısı,Glittrande öga
EyeSpiral,Eye Spiral,Eye Spiral,眼睛 圈圈,眼睛 圈圈,Augenspirale,Espiral en los ojos,Yeux en Spirales,Szemspirál,ぐるぐる目,눈 나선형,Глаз Спираль,Olhos Espiral,Очна спіраль,Spirale dell'occhio,ตา(Spiral),Göz Spiral,Ögonspiral
EyeWhite,Eye White,Eye White,眼睛 白色部分,眼睛 白色部分,Augenweiß,Ojo blanco,Blanc de l'Œil,Szem fehér,白目,눈 흰자,Глаз Белок,Branco do Olho,Біле око,Occhio bianco,ตาขาว,Göz Beyazı,Ögonvit
FaceShadow,Face Shadow,Face Shadow,脸 阴影,臉 陰影,Gesichtsschatten,Sombra de la cara,Ombre du Visage,Arcárnyék,顔影,얼굴 음영,Тень на лице,Sombreamento do Rosto,Тінь обличчя,Ombra del viso,เงาบนหน้า,Yüz Gölgesi,Ansiktsskugga
FinLeft,Fin >>,Fin >>,鳍 >>,鰭 >>,Flosse >>,Aleta >>,Nageoires >>,Fin >>,ヒレ >>,지느러미 >>,Плавник >>,Barbatana >>,Плавник >>,Pinna >>,ครีบ >>,Yüzgeç >>,Fin >>
FinLeftOutline,Fin >> Outline,Fin >> Outline,鳍 >> 轮廓,鰭 >> 輪廓,Flosse >> Umriss,Aleta >> Contorno,Contour Nageoires >>,Fin >> Vázlat,ヒレ 輪郭 >>,지느러미 >> 외곽선,Плавник >> Контур,Barbatana >> Contorno,Fin >> Контур,Pinna >> Contorno,เส้นร่างครีบ >>,Yüzgeç >> Anahat,Fin >> Kontur
FinRight,Fin <<,Fin <<,鳍 <<,鰭 <<,Flosse <<,aleta <<,Nageoires <<,Fin <<,ヒレ <<,지느러미 <<,Плавник <<,Barbatana <<,Плавник <<,Fin <<,ครีบ <<,Yüzgeç <<,Fin <<
FinRightOutline,Fin << Outline,Fin << Outline,鳍 << 轮廓,鰭 << 輪廓,Flosse << Umriss,Fin << Contorno,Contour Nageoires <<,Fin << Vázlat,ヒレ 輪郭 <<,지느러미 << 외곽선,Плавник << Контур,Barbatana << Contorno,Fin << Контур,Fin << Contorno,เส้นร่างครีบ <<,Yüzgeç << Anahat,Fin << Kontur
FrameHairLeft,Hair Framing >>,Hair Framing >>,头发 脸颊 >>,頭髮 臉頰 >>,Seitensträhnen >>,Mechón frontal >>,Mèche Visage Côté >>,Hajkeretezés >>,顔まわり髪 >>,옆머리 >>,Прядь волос >>,Emolduração do Cabelo >>,Обрамлення волосся >>,Inquadratura dei capelli >>,ผมด้านข้าง >>,Saç Ucu >>,Hårinramning >>
FrameHairLeftOutline,Hair Framing >> Outline,Hair Framing >> Outline,头发 脸颊 >> 轮廓,頭髮 臉頰 >> 輪廓,Seitensträhnen >> Umriss,Mechón frontal >> Contorno,Contour Mèche Visage Côté >>,Hajkeretezés >> Vázlat,顔まわり髪 輪郭 >>,옆머리 >> 외곽선,Прядь волос >> Контур,Emolduração do Cabelo >> Contorno,Обрамлення волосся >> Контур,Inquadratura dei capelli >> Contorno,เส้นร่างผมด้านข้าง >>,Saç Ucu >> Anahat,Hårinramning >> Kontur
FrameHairRight,Hair Framing <<,Hair Framing <<,头发 脸颊 <<,頭髮 臉頰 <<,Seitensträhnen <<,Mechón frontal <<,Mèche Visage Côté <<,Hajkeretezés <<,顔まわり髪 <<,옆머리 <<,Прядь волос <<,Emolduração do Cabelo <<,Обрамлення волосся <<,Inquadratura dei capelli <<,ผมด้านข้าง <<,Saç Ucu <<,Hårinramning <<
FrameHairRightOutline,Hair Framing << Outline,Hair Framing << Outline,头发 脸颊 << 轮廓,頭髮 臉頰 << 輪廓,Seitensträhnen << Umriss,Mechón frontal << Contorno,Contour Mèche Visage Côté <<,Hajkeretezés << Vázlat,顔まわり髪 輪郭 <<,옆머리 << 외곽선,Прядь волос << Контур,Emolduração do Cabelo << Contorno,Обрамлення волосся << Контур,Inquadratura dei capelli << Contorno,เส้นร่างผมด้านข้าง <<,Saç Ucu << Anahat,Hårinramning << Kontur
Gill,Gill,Gill,腮,鰓,Kieme,Branquia,Branchies ,Kopoltyú,エラ,아가미,Жабры,Brânquia,Гілл,Gill,เหงือก,Solungaç,Gill
GillOutline,Gill Outline,Gill Outline,腮 轮廓,鰓 輪廓,Kiemen Umriss,Contorno de la branquia,Contour Branchies ,Gill vázlat,エラ 輪郭,아가미 외곽선,Жабры Контур,Contorno da Brânquia,Контур зябер,Contorno delle branchie,เส้นร่างเหงือก,Solungaç Anahat,Gill Outline
Glasses,Glasses,Glasses,眼镜,眼鏡,Brille,Anteojos,Lunettes,Szemüveg,メガネ,안경,Очки,Óculos,Окуляри,Occhiali,แว่นตา,Gözlük,Glasögon
HairbandA,Hairband A,Hairband A,发带 A,髮帶 A,Haarband A,Diadema A,Bandeau A,Hajpánt A,ヘアバンドA,머리띠 A,Банты А,Faixa de Cabelo A,Гумка для волосся А,Fascia per capelli A,ที่คาดผม A,Saç Bandı A,Hårband A
HairbandAOutline,Hairband A Outline,Hairband A Outline,发带 A 轮廓,髮帶 A 輪廓,Haarband A Umriss,Contorno de Diadema A,Contour Bandeau A,Hajpánt Vázlat,ヘアバンドA 輪郭,머리띠 A 외곽선,Банты A Контур,Contorno da Faixa de Cabelo A,Гумка для волосся A Контур,Cerchietto A Contorno,เส้นร่างที่คาดผม A,Saç Bandı Anahat,Hårband En disposition
HairbandB,Hairband B,Hairband B,发带 B,髮帶 B,Haarband B,Diadema B,Bandeau B,Hajpánt B,ヘアバンドB,머리띠 B,Повязки на голову Б,Faixa de Cabelo B,Гумка для волосся Б,Fascia per capelli B,ที่คาดผม B,Saç Bandı B,Hårband B
HairbandBOutline,Hairband B Outline,Hairband B Outline,发带 B 轮廓,髮帶 B 輪廓,Haarband B Umriss,Contorno de Diadema B,Contour Bandeau B,Hajpánt B körvonal,ヘアバンドB 輪郭,머리띠 B 외곽선,Повязки на голову B Контур,Contorno da Faixa de Cabelo B,Гумка для волосся B Контур,Cerchietto B Contorno,เส้นร่างที่คาดผม B,Saç Bandı B Anahat,Hårband B Outline
HairbandC,Hairband C,Hairband C,发带 C,髮帶 C,Haarband C,Diadema C,Bandeau C,Hajpánt C,ヘアバンドC,머리띠 C,Ободок С,Faixa de Cabelo C,Гумка для волосся C,Fascia per capelli C,ที่คาดผม C,Saç Bandı C,Hårband C
HairbandCOutline,Hairband C Outline,Hairband C Outline,发带 C 轮廓,髮帶 C 輪廓,Haarband C Umriss,Contorno de Diadema C,Contour Bandeau C,Hajpánt C körvonal,ヘアバンドC 輪郭,머리띠 C 외곽선,Ободок C Контур,Contorno da Faixa de Cabelo C,Гумка для волосся C контур,Cerchietto C Contorno,เส้นร่างที่คาดผม C,Saç Bandı C Anahat,Hårband C Outline
HairbandD,Hairband D,Hairband D,发带 D,髮帶 D,Haarband D,Diadema D,Bandeau D,Hajpánt D,ヘアバンドD,머리띠 D,Бант сзади D,Faixa de Cabelo D,Гумка для волосся D,Fascia per capelli D,ที่คาดผม D,Saç Bandı D,Hårband D
HairbandDOutline,Hairband D Outline,Hairband D Outline,发带 D 轮廓,髮帶 D 輪廓,Haarband D Umriss,Contorno de Diadema D,Contour Bandeau D,Hajpánt D körvonal,ヘアバンドD 輪郭,머리띠 D 외곽선,Бант сзади D Контур,Faixa de Cabelo D Contorno,Гумка для волосся D контур,Cerchietto D Contorno,เส้นร่างที่คาดผม D,Saç Bandı D Anahat,Hårband D Kontur
HairBangLeft,Hair Bang >>,Hair Bang >>,头发 刘海 >>,頭髮 瀏海 >>,Pony >>,Flequillo >>,Frange Côté >>,Hair Bang >>,前髪 >>,앞머리 >>,Челка >>,Franja do Cabelo >>,Чубчик для волосся >>,Frangia ai capelli >>,ผมหน้าม้า >>,Kahkül >>,Hair Bang >>
HairBangLeftOutline,Hair Bang >> Outline,Hair Bang >> Outline,头发 刘海 >> 轮廓,頭髮 瀏海 >> 輪廓,Pony >> Umriss,Flequillo >> Contorno,Contour Frange Côté >>,Hair Bang >> Vázlat,前髪 輪郭 >>,앞머리 >> 외곽선,Челка >> Контур,Franja do Cabelo >> Contorno,Чубчик для волосся >> Контур,Frangia capelli >> Contorno,เส้นร่างผมหน้าม้า >>,Kahkül >> Anahat,Hair Bang >> Kontur
HairBangMiddle,Hair Bang ><,Hair Bang ><,头发 刘海 ><,頭髮 瀏海 ><,Pony ><,Flequillo ><,Frange ><,Hair Bang ><,前髪 中央,앞머리 ><,Челка ><,Franja do Cabelo ><,Чубчик для волосся ><,Frangia ai capelli ><,ผมหน้าม้า ><,Kahkül ><,Hair Bang ><
HairBangMiddleOutline,Hair Bang >< Outline,Hair Bang >< Outline,头发 刘海 >< 轮廓,頭髮 瀏海 >< 輪廓,Pony >< Umriss,Flequillo >< Contorno,Contour Frange ><,Hair Bang >< Vázlat,前髪 中央 輪郭,앞머리 >< 외곽선,Челка >< Контур,Franja do Cabelo >< Contorno,Чубчик для волосся >< контур,Scoppio dei capelli >< Contorno,เส้นร่างผมหน้าม้า ><,Kahkül >< Anahat,Hair Bang >< Outline
HairBangRight,Hair Bang <<,Hair Bang <<,头发 刘海 <<,頭髮 瀏海 <<,Pony <<,Flequillo <<,Frange Côté <<,Hair Bang <<,前髪 <<,앞머리 <<,Челка <<,Franja do Cabelo <<,Чубчик для волосся <<,Frangia ai capelli <<,ผมหน้าม้า <<,Kahkül <<,Hair Bang <<
HairBangRightOutline,Hair Bang << Outline,Hair Bang << Outline,头发 刘海 << 轮廓,頭髮 瀏海 << 輪廓,Pony << Umriss,Flequillo << Contorno,Contour Frange Côté <<,Hair Bang << Vázlat,前髪 輪郭 <<,앞머리 << 외곽선,Челка << Контур,Franja do Cabelo << Contorno,Чубчик для волосся << Контур,Frangia Capelli << Contorno,เส้นร่างผมหน้าม้า <<,Kahkül << Anahat,Hair Bang << Outline
HairClipLeft,Hair Clip >>,Hair Clip >>,发夹 >>,髮夾 >>,Haarspange >>,Pinza para el pelo >>,Pince à Cheveux >>,Hajcsipesz >>,ヘアクリップ >>,머리핀 >>,Заколка >>,Grampo de Cabelo >>,Заколка для волосся >>,Fermaglio per capelli >>,กิ๊บติดผม >>,Saç Tokası >>,Hårklämma >>
HairClipLeftOutline,Hair Clip >> Outline,Hair Clip >> Outline,发夹 >> 轮廓,髮夾 >> 輪廓,Haarspange >> Umriss,Pinza para el cabello >> Contorno,Contour Pince à Cheveux >>,Hajcsat >> Vázlat,ヘアクリップ 輪郭 >>,머리핀 >> 외곽선,Заколка >> Контур,Grampo de Cabelo >> Contorno,Заколка для волосся >> Контур,Fermaglio per capelli >> Contorno,เส้นร่างกิ๊บติดผม >>,Saç Tokası >> Anahat,Hårklämma >> Kontur
HairClipRight,Hair Clip <<,Hair Clip <<,发夹 <<,髮夾 <<,Haarspange <<,Pinza para el pelo <<,Pince à Cheveux <<,Hajcsat <<,ヘアクリップ <<,머리핀 <<,Заколка  <<,Grampo de Cabelo <<,Заколка для волосся <<,Fermacapelli <<,กิ๊บติดผม <<,Saç Tokası <<,Hårklämma <<
HairClipRightOutline,Hair Clip << Outline,Hair Clip << Outline,发夹 << 轮廓,髮夾 << 輪廓,Haarspange << Umriss,Pinza para el cabello << Contorno,Contour Pince à Cheveux <<,Hajcsat << Vázlat,ヘアクリップ 輪郭 <<,머리핀 << 외곽선,Заколка << Контур,Grampo de Cabelo << Contorno,Заколка для волосся << Контур,Fermaglio per capelli << Contorno,เส้นร่างกิ๊บติดผม <<,Saç Tokası << Anahat,Hårklämma << Kontur
HairHighlightLeft1,Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >> ,挑染 1 >> ,Haar Highlight 1 >>,Mechas de cabello 1 >>,Mèches Individuelle 1 >>,Hajkiemelés 1 >>,髪ハイライト1 >>,머리 브릿지 1 >>,Торчащий волос 1 >>,Mechas do Cabelo 1 >>,Мелірування волосся 1 >>,Punti salienti dei capelli 1 >>,ชิ้นส่วนผม 1 >>,Saç Detayı 1 >>,Hårhöjdpunkt 1 >>
