Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,位置垂直偏移,位置垂直偏移,Vertikaler Versatz,Desplazamiento vertical,Décalage vertical,Függőleges eltolás,垂直オフセット,수직 오프셋,Смещение по вертикали,Deslocamento vertical,Зміщення по вертикалі,Offset verticale,Offset แนวตั้ง,Dikey Ofset,Offset Vertikal
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,重置视窗设置,重置視窗設定,Vorschau-Einstellungen zurücksetzen,Restablecer la configuración de la ventana gráfica,Réinitialiser les paramètres de la fenêtre,Állítsa vissza a nézetablak beállításokat,ビューポート設定をリセット,작업 화면 설정 초기화,Сбросить настройки видового экрана,Resetar opções de visualização,Скинути налаштування вікна перегляду,Ripristina le impostazioni della vista,รีเซ็ตการตั้งค่า Viewport,Model Alanı Tuş Ayarlarını Sıfırla,Återställ Viewport Settings
MainMenu.Settings.ExportSettings,Animation Export Settings,动画输出设置,動畫匯出設定,Animationsexport-Einstellungen,Configuración de exportación de animación,Paramètres d'exportation d'animations,Animáció exportálási beállításai,アニメーション書き出し設定,애니메이션 저장 설정,Настройки экспорта анимации,Opções de exportação de animação,Параметри експорту анімації,Impostazioni di esportazione dell'animazione,การตั้งค่า Animation Export,Animasyon Dışarı Aktarma Ayarları,Animation Export Settings
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,保存位置,儲存位置,Speicherort,Ubicación de guardado,Enregistrer l'emplacement,Hely mentése,保存先,저장 경로,Сохранить местоположение,Local de salvamento,Зберегти місцезнаходження,Salva posizione,ตำแหน่งการบันทึก,Kayıt Lokasyonu,Spara plats
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,输出预置,匯出預設,Voreinstellungen,Exportar ajustes preestablecidos,Exporter les préréglages,Előbeállítások exportálása,書き出しプリセット,프리셋 내보내기,Экспорт пресетов,Exportar predefinições,Експорт пресетів,Esporta preimpostazioni,Export Presets,Dışa Aktarım Ön Ayarları,Exportera förinställningar
MainMenu.Settings.ExportSettings.Encoder,Encoder,编码器,編碼器,Encoder,Codificador,Encodeur,Kódoló,エンコーダー,인코더,Кодер,Codificador,Кодувальник,Codificatore,Encoder,Encoder,Encoder
MainMenu.Settings.ExportSettings.Width,Width,宽度,寬度,Breite,Ancho,Largeur,Szélesség,幅,너비,Ширина,Largura,Ширина,Larghezza,ความกว้าง,Genişlik,Bredd
MainMenu.Settings.ExportSettings.Height,Height,高度,高度,Höhe,Altura,Hauteur,Magasság,高さ,높이,Высота,Altura,Висота,Altezza,ความสูง,Yükseklik,Höjd
MainMenu.Settings.ExportSettings.FPS,FPS,帧率,幀率,FPS,FPS,FPS,FPS,FPS,FPS,ФПС,FPS,FPS,FPS,FPS,FPS,FPS
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,限制最大帧数,限制最大幀數,Max. Frame-Anzahl begrenzen,Límite máximo de conteo de fotogramas,Limite Max. Nombre d'images,Limit Max. Képkockaszám,最大フレーム数を制限,최대 프레임 수 제한,Ограничение Макс. Количество кадров,Limite máximo. Quantidade de Quadros,Обмеження Макс. Кількість кадрів,Limite massimo Conteggio fotogrammi,จำกัดจำนวนเฟรมสูงสุด,Maks. Kare Hızını Limitle,Begränsning Max. Antal ramar
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,最大帧数,最大幀數,Max. Frame-Anzahl,Conteo máximo de fotogramas,Max. Nombre d'images,Max. Képkockaszám,最大フレーム数,최대 프레임 수,Макс. Количество кадров,Máximo. Quantidade de Quadros,Макс. Кількість кадрів,Massimo. Conteggio fotogrammi,จำนวนเฟรมสูงสุด,Maks. Kare Hızı,Max. Antal ramar
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,透明阈值,透明閾值,Alpha-Schwelle,Umbral alfa,Seuil alpha,Alfa-küszöb,アルファしきい値,투명도 임계값,Альфа-порог,Limiar alpha,Альфа-поріг,Soglia alfa,Alpha Threshold,Başlangıç Değeri,Alfatröskel
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,使用颜色抖动,使用顏色抖動,Dithering aktivieren,Habilitar tramado,Activer le tramage,Dithering engedélyezése,ディザリングを有効化,디더링 활성화,Включить сглаживание,Ativar Suavização de Cores,Увімкнути дизерінг,Abilita dithering,เปิดใช้งาน Dithering,Titremeye İzin Ver,Aktivera dithering
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,重置输出设置,重置匯出設定,Exporteinstellungen zurücksetzen,Restablecer configuración de exportación,Réinitialiser les paramètres d'exportation,Állítsa vissza az exportálási beállításokat,書き出し設定をリセット,저장 설정 초기화,Сбросить настройки экспорта,Resetar Opções de Exportação,Скинути налаштування експорту,Ripristina le impostazioni di esportazione,รีเซ็ตการตั้งค่า Export,Dışarı Aktarma Ayarlarını Sıfırla,Återställ exportinställningar
MainMenu.Editor.Export,Export Emote,导出动画,匯出動畫,Emote exportieren,Exportar emote,Exporter une émoticône,Export Emote,エモートを書き出し,이모트 내보내기,Экспортировать эмоцию,Exportar Emote,Експорт Emote,Esporta emoticon,Export Emote,Emoji Dışa Aktar,Exportera Emote
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,许可信息由模型作者提供。仅作展示，不代表 EmoteLab 开发者立场。,許可資訊由模型作者提供。僅作展示，不代表 EmoteLab 開發者立場。,Lizenz vom Modellersteller bereitgestellt. Wird nur als Referenz angezeigt und gibt nicht die Ansichten oder Rechtsposition des EmoteLab-Entwicklers wieder.,Licencia proporcionada por el creador del modelo. Se muestra solo como referencia y no representa las opiniones ni la posición legal del desarrollador de EmoteLab.,Licence fournie par le créateur du modèle. Affiché à titre de référence uniquement et ne représente pas les opinions ou la position juridique du développeur EmoteLab.,"A modell készítője által biztosított licenc. Csak referenciaként jelenik meg, és nem képviseli az EmoteLab fejlesztő nézeteit vagy jogi álláspontját.",ライセンスはモデル制作者が提供したものです。参考情報として表示されており、EmoteLab開発者の見解や法的立場を示すものではありません。,모델 제작자가 제공하는 라이선스입니다. 참고용으로만 표시되며 EmoteLab 개발자의 견해나 법적 입장을 나타내지 않습니다.,Лицензия предоставлена ​​создателем модели. Отображается только для справки и не отражает точку зрения или правовую позицию разработчика EmoteLab.,Licença provida pelo criador do modelo. Apresentada apenas para referência e não representa as ideias ou posicionamento legal dos desenvolvedores do Emotelab.,Ліцензія надана розробником моделі. Відображається лише для довідки та не відображає поглядів або правової позиції розробника EmoteLab.,Licenza fornita dal creatore del modello. Visualizzato solo come riferimento e non rappresenta le opinioni o la posizione legale dello sviluppatore EmoteLab.,ลิขสิทธิ์ได้รับจากผู้สร้างโมเดล แสดงไว้เพื่อเป็นข้อมูลอ้างอิงเท่านั้น และไม่ได้แสดงถึงความคิดเห็นหรือจุดยืนทางกฎหมายของผู้พัฒนา EmoteLab,"Lisans, modelin yaratıcısı tarafından sağlanmıştır. Yalnızca referans amacıyla gösterilmiştir ve EmoteLab geliştiricisinin görüşlerini veya yasal konumunu temsil etmemektedir.",Licens tillhandahållen av modellskaparen. Visas endast som referens och representerar inte EmoteLab-utvecklarens åsikter eller rättsliga ställning.
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",该第三方模型的作者未随模型提供许可协议或使用说明。在将该模型用于公开、商业或专业场景前，建议您自行与模型作者确认其允许的使用范围。,該第三方模型的作者未隨模型提供許可協議或使用說明。在將該模型用於公開、商業或專業場景前，建議您自行與模型作者確認其允許的使用範圍。,Lizenz nicht gefunden. Bestätige die erlaubte Nutzung mit dem Ersteller.,Licencia no encontrada. Confirmar el uso permitido con el creador.,Licence introuvable. Confirmez l'utilisation autorisée auprès du créateur.,Az engedély nem található. Az engedélyezett felhasználás megerősítése az alkotóval.,ライセンスが見つかりません。使用許可は制作者に確認してください。,라이선스를 찾을 수 없습니다. 제작자에게 허용된 사용 범위를 확인하세요.,Лицензия не найдена. Подтвердите разрешенное использование у создателя.,Licença não encontrada. Confirme com o criador se o uso é permitido.,"Творець цієї сторонньої моделі не надав ліцензію чи умови використання разом із моделлю. Перш ніж використовувати цю модель у публічному, комерційному чи професійному контексті, ви повинні підтвердити дозволену сферу використання безпосередньо у творця моделі.",Licenza non trovata. Conferma l'uso consentito con il creatore.,ไม่พบใบอนุญาตการใช่งาน โปรดยืนยันการใช้งานที่ได้รับอนุญาตกับผู้สร้าง,Lisans bulunamadı. Lütfen kullanım iznini yapımcıyla teyit edin.,"Skaparen av den här tredjepartsmodellen har inte tillhandahållit en licens eller användningsvillkor med modellen. Innan du använder den här modellen i offentliga, kommersiella eller professionella sammanhang bör du bekräfta den tillåtna användningsomfånget direkt med modellens skapare."
LicensePopup.Close,Close,关闭,關閉,Schließen,Cerrar,Fermer,Közeli,閉じる,닫기,Закрывать,Fechar,Закрити,Vicino,ปิด,Kapat,Nära
MainMenu.Editor.OpenExportFolder,Open Export Folder,打开输出文件夹,開啟匯出資料夾,Exportordner öffnen,Abrir carpeta de exportación,Ouvrir le dossier d'exportation,Nyissa meg az Exportálás mappát,書き出しフォルダを開く,저장 폴더 열기,Открыть папку экспорта,Abre Pasta de Exportação,Відкрийте папку експорту,Apri la cartella di esportazione,เปิดโฟลเดอร์ Export,Dışa Aktarılan Dosyayı Göster,Öppna Exportmapp
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,加载内置模型角色示例,載入內建模型角色示例,Beispiel-Charaktere für integrierte Modelle laden,Cargar modelos de prueba para modelos integrados,Charger des exemples de personnages pour les modèles intégrés,Töltsön be mintakaraktereket a beépített modellekhez,組み込みモデルのサンプルキャラクターを読み込む,기본 제공 모델의 샘플 캐릭터 불러오기,Загрузка образцов символов для встроенных моделей,Carregar Personagens de Exemplo para Modelos Pré-criados,Завантажте зразки символів для вбудованих моделей,Carica caratteri di esempio per i modelli incorporati,โหลดตัวละครตัวอย่าง,Gömülü Modeller için Örnek Karakterler Yükle,Ladda provtecken för inbyggda modeller
MainMenu.Settings.ModelSettings,Model Settings,模型设置,模型設定,Modelleinstellungen,Configuración del modelo,Paramètres du modèle,Modell beállításai,モデル設定,모델 설정,Настройки модели,Configurações de Modelo,Параметри моделі,Impostazioni del modello,การตั้งค่าโมเดล,Model Ayarları,Modellinställningar
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,保存角色数据,儲存角色資料,Charakterdaten werden gespeichert...,Guardando datos de personaje…,Enregistrement des données du personnage...,Karakteradatok mentése...,キャラクターデータを保存中…,캐릭터 데이터를 저장하는 중...,Сохранение данных персонажа...,Salvando Dados do Personagem...,Збереження даних символів...,Salvataggio dei dati del personaggio...,กำลังบันทึกข้อมูลตัวละคร...,Karakter Verileri Kaydediliyor...,Sparar teckendata...
