Key,en,th,reviewed
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,ความเร็ว Rotation,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Model Scale,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Offset แนวนอน,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Offset แนวตั้ง,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,รีเซ็ตการตั้งค่า Viewport,True
MainMenu.Settings.ExportSettings,Animation Export Settings,การตั้งค่า Animation Export,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,ตำแหน่งการบันทึก,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Export Presets,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encoder,True
MainMenu.Settings.ExportSettings.Width,Width,ความกว้าง,True
MainMenu.Settings.ExportSettings.Height,Height,ความสูง,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,จำกัดจำนวนเฟรมสูงสุด,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,จำนวนเฟรมสูงสุด,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Alpha Threshold,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,เปิดใช้งาน Dithering,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,รีเซ็ตการตั้งค่า Export,True
MainMenu.Editor.Export,Export Emote,Export Emote,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,ลิขสิทธิ์ได้รับจากผู้สร้างโมเดล แสดงไว้เพื่อเป็นข้อมูลอ้างอิงเท่านั้น และไม่ได้แสดงถึงความคิดเห็นหรือจุดยืนทางกฎหมายของผู้พัฒนา EmoteLab,True
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",ไม่พบใบอนุญาตการใช่งาน โปรดยืนยันการใช้งานที่ได้รับอนุญาตกับผู้สร้าง,False
LicensePopup.Close,Close,ปิด,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,เปิดโฟลเดอร์ Export,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,โหลดตัวละครตัวอย่าง,True
MainMenu.Settings.ModelSettings,Model Settings,การตั้งค่าโมเดล,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,กำลังบันทึกข้อมูลตัวละคร...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,กำลังโหลดตัวละคร...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,ใบอนุญาติของบุคคลที่สาม,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),ข้อตกลงใบอนุญาตผู้ใช้ปลายทาง (EULA),True
MainMenu.Info.Documentation,Documentation,เอกสารประกอบ (Documentation),True
MainMenu.Info.Discord,Join Our Discord,เข้าร่วม Discord ของเรา,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",การตั้งค่าของ Preset จะกำหนดรูปแบบและขนาดที่ถูกต้อง แอนิเมชันที่มีความยาวมากอาจเกินขีดจำกัดขนาดไฟล์ของแพลตฟอร์ม และบางแพลตฟอร์มอาจจำกัดเนื้อหาบางประเภท,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,เปิดโฟลเดอร์โมเดลในเครื่อง,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,เปิดโฟลเดอร์ตัวละคร,True
MainMenu.Info.Log,Open Log Folder,เปิดโฟลเดอร์ Log,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,การใช้ตารางสีสากล,True
MainMenu.Editor.ExportStatic,Export Static Image,Export ภาพนิ่ง,True
MainMenu.Editor.Player.Speed,Speed,ความเร็ว,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,การตั้งค่าภาพนิ่ง,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,รีเซ็ตการตั้งค่าภาพนิ่ง,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Sampling Rate,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Toggle นี้ช่วยให้คุณสลับระหว่าง Internal Texture และ Custom Texture ได้,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,แก้ไขไฟล์ PNG ในโฟลเดอร์ Custom Texture และบันทึกโดยตั้งค่าความโปร่งใสไว้ โดยไม่แก้ไขขนาดของ PNG,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",หลังจากบันทึกการแก้ไขแล้ว ให้คลิกปุ่มนี้เพื่อปรับเปลี่ยนโมเดลของคุณตามความเปลี่ยนแปลง,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,บันทึกตัวละครของคุณ โดยปุ่มบันทึกจะอยู่ด้านล่างรายชื่อตัวละครทางด้านซ้ายของหน้าจอ,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,โปรดอ่านคู่มือการใช้งาน Custom Texture ก่อนใช้งาน feature นี้,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Custom Texture,True
MainMenu.Editor.Texture.Step1,Step 1,ขั้นตอนที่ 1,True
MainMenu.Editor.Texture.Step2,Step 2,ขั้นตอนที่ 2,True
MainMenu.Editor.Texture.Step3,Step 3,ขั้นตอนที่ 3,True
MainMenu.Editor.Texture.Step4,Step 4,ขั้นตอนที่ 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,แก้ไขเส้นร่างที่เลือก,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,รีเซ็ต Atlas ที่เลือก,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Texture Utility,True
MainMenu.Editor.Texture.SelectAll,Select All,เลือกทั้งหมด,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,การเลือก Toggle,True
MainMenu.Editor.Texture.AtlasList,Atlas List,รายการ Atlas,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,การดำเนินการนี้จะรีเซ็ตหน้า Atlas ที่เลือกกลับไปเป็นเวอร์ชันเริ่มต้น การแก้ไขที่ยังไม่ได้บันทึกจะสูญหายและไม่สามารถกู้คืนได้ ต้องการดำเนินการต่อหรือไม่?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palette Algorithm,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,การดำเนินการนี้จะเขียนทับไฟล์ Texture ที่เลือกไว้ โดยไม่สามารถย้อนกลับมาแก้ไขได้ ต้องการดำเนินการต่อหรือไม่?,True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","บางภาษาได้รับการแปลโดยชุมชนของเราหรือได้รับความช่วยเหลือจากการแปลด้วยคอมพิวเตอร์ ดังนั้นคุณภาพอาจแตกต่างกันไป

คุณสามารถเปลี่ยนภาษาได้ในการตั้งค่า

ดู {0}

ต้องการที่จะมีส่วนร่วม? เข้าร่วมกับเราบน {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,ผู้ร่วมให้ข้อมูลในชุมชนบน GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,อย่าแสดงสิ่งนี้อีก,False
MainMenu.Editor.AssetTypeWS,Workshop,การประชุมเชิงปฏิบัติการ,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,เผยแพร่โมเดลไปยังเวิร์กช็อป,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,เผยแพร่ตัวละครไปยังเวิร์กชอป,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,โหมดอัพโหลด,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,สร้างรายการใหม่,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,อัพเดตรายการที่มีอยู่,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,รายการที่จะอัปเดต,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,ชื่อ,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,คำอธิบาย,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,ทัศนวิสัย,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,สาธารณะ,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,เพื่อนเท่านั้น,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,ส่วนตัว,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,ไม่อยู่ในรายการ,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,เปลี่ยนบันทึก,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),รายการที่จำเป็น (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),ภาพตัวอย่าง (เส้นทาง PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,เผยแพร่,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,ยกเลิก,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(กำลังโหลด...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(ไม่มีรายการเผยแพร่),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(ไอน้ำไม่พร้อม),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,กำลังรอข้อมูลเมตาของ Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,เลือกรายการเวิร์กชอปที่เผยแพร่เพื่ออัปเดต,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,ต้องระบุชื่อเรื่อง,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,แก้ไขภาพตัวอย่างก่อนที่จะเผยแพร่,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,กำลังสร้างรายการเวิร์กชอป...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,กำลังอัปโหลดรายการเวิร์กชอป...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,ไม่พบไฟล์ภาพตัวอย่าง,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","รูปภาพตัวอย่างต้องเป็น PNG, JPG หรือ GIF",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,รูปภาพตัวอย่างต้องมีขนาด 1 MB หรือเล็กกว่า (ปัจจุบันคือ {0} KB),False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},ไม่สามารถอ่านภาพตัวอย่าง: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,ไม่สามารถถอดรหัสภาพตัวอย่างได้,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},PublishedFileId ที่จำเป็นไม่ถูกต้อง: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam ไม่ได้ถูกเตรียมใช้งาน,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},อัปโหลดรายการเวิร์กชอป: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,ไฟล์การจัดเตรียมการเผยแพร่ได้รับการแก้ไขแล้ว ปิดกล่องโต้ตอบนี้แล้วเผยแพร่อีกครั้ง,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,กำลังตรวจสอบรายการเวิร์กชอปที่จำเป็น...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,ไม่สามารถตรวจสอบรายการเวิร์กชอปที่จำเป็นได้,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,ไม่พบรายการเวิร์กชอป {0} หรือไม่สามารถเข้าถึงได้,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,รายการเวิร์กชอป {0} ไม่ได้เป็นของแอปนี้,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},การบันทึกวิวพอร์ตล้มเหลว: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,ดูตัวอย่างที่ถ่ายจากวิวพอร์ต,False
